cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,validation_label,notes
2026,ART MUSEUM COMPLEX - CAPITAL,28,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2026,2031,Make infrastructure improvements required for life safety and basic operations.,,,12500,2500,2000,2000,2000,2000,2000,corrected,
2026,ART MUSEUM COMPLEX - CAPITAL,28,ART MUSEUM,Philadelphia Museum of Art - Building Rehabilitation-FY24,ART.1A,,2026,2026,See description under line item 1.,,,2000.0,2000,,,,,,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area of,AVN.2.1,,2030.0,2030.0,"This program includes the areas the Airport reserved for aircraft operations and aircraft-related activities, and other 8, appurtenances on the Airport related to the use of the Airport 38,628 10,000 4854PB 4,024PB_— —- —-",,,4668.0,,,,,4668.0,,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area-FY25,AVN.2A,,2031.0,2031.0,"See description under line item 2 45,585 XT",,,123543.0,,,,,,123543.0,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area-FY24,AVN.2B,,2031.0,2031.0,"See description under line item 2 4,768 XT",,,11000.0,,,,,,11000.0,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,32,AVIATION,Terminal Area,AVN.3.1,,,,"This includes the Airport terminal buildings, 1,000 1,000 XR 1,000 XR program passenger including the areas available for baggage handling of systems, 171,550 XN 71,810XN 72,840 XN 78,090 XN 78,200 XN and the sidewalk and curb adjacent to the landside the 26,000 FB 10,000FB 10,000F3. O00 FB 1,000 SB -§008B 500 SB 250 SB 250 SB 2,000 PB 2,000PB. 2,000 PB 2,000 PB 2,000 PB",,,,,,,,,,incorrect,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,32,AVIATION,Terminal Area-FY25,AVN.3A,,2031.0,2031.0,See description under line item 3.,,,261917.0,,,,,,261917.0,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,32,AVIATION,Terminal Area-FY24,AVN.3B,,2031.0,2031.0,"See description under line item 3 23,374 XT",,,44174.0,,,,,,44174.0,corrected,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Outside Terminal Area (OTA),AVN.4.1,,,,"This program includes the Airport arrival and departure 1,000 PB 1,000PB 1,000 PB 1,000 PB 1,000 PB roadways, and areas on which a hotel, parking facilities, and car 26,850 XN 28,820XN 29,400 XN 29,770 XN 30,254 XN rental entities operate. 1,000 FB 1,000FB 1,000 FB 1,000FB 1,000 FB 1,000 SB 1,000SB 1,000 SB 1,000 SB 1,000 SB 1,000 XR 1,000XR 1,000 XR 1,000 XR 1,000 XR 4A, Outside Terminal Area (OTA)-FY25 See description under line item 4. 3,000 FT 1,000 PT 10,000 CR 3,000 ST 62,950 XT",,,,,,,,,,incorrect,
2026,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Outside Terminal Area (OTA)-FY24,AVN.4B,,2031.0,2031.0,"See description under line item 4. 17,007 XT",,,17007.0,,,,,,17007.0,,
