cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,validation_label,notes
2021,ART MUSEUM COMPLEX - CAPITAL,41,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2022,2026,Make infrastructure improvements required for life safety and basic operations.,,,2500,1500,,,,1000,,validated,
2021,INDUSTRIAL DEVELOPMENT,47,AVIATION,Airfield Area,AVN.2.1,,,,"This program includes the areas of the Airport reserved for aircraft operations and aircraft-related activities, and other appurtenances on the Airport. FB =",,,128053,71100,26124,26526,2141,2162,,corrected,
2021,INDUSTRIAL DEVELOPMENT,47,AVIATION,Terminal Area,AVN.3.1,,,,"This includes the Airport passenger terminal buildings, program including the areas available for baggage handling systems, and the sidewalk and curb adjacent to the landside of the terminal buildings",,,171642,82230,21630,21249,22249,23150,1134,corrected,
2021,INDUSTRIAL DEVELOPMENT,47,AVIATION,Outside Terminal Area (OTA),AVN.4.1,,,,"This includes the Airport arrival and departure = program roadways, and areas on which a hotel, parking facilities, and car — rental entities operate.",,,155285,25300,25620,25725,26125,26750,25765,corrected,
2021,INDUSTRIAL DEVELOPMENT,48,AVIATION,Outside Terminal Area (OTA)-FY21,AVN.4A,,,,See description under line item 4.,,,65000,65000,,,,,,corrected,
2021,INDUSTRIAL DEVELOPMENT,48,AVIATION,Other Airport,AVN.5.1,,,,"Services This program includes expenses and airport revenues which are not directly accounted for in the Airfield Area, Terminal Area, or Outside Terminal Area. Also included here are PNE projects.",,,55275,16000,10409,11232,11941,5570,123,corrected,
2021,WATERFRONT IMPROVEMENTS:,53,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.1,,,,"Upgrade curbs, sidewalks, lighting, landscaping, and parking in commercial corridors to complement public and private investment.",,,12600,3100,2500,2000,5000,,,corrected,
2021,WATERFRONT IMPROVEMENTS:,53,COMMERCE,Market East Public Infrastructure,COM.6.2,,,,"Fund improvements to infrastructure in Market Street East area of Center City to support additional commercial, residential, and retail development.",,,3500,2000,1500,,,,,corrected,
2021,WATERFRONT IMPROVEMENTS:,53,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY21,COM.6A,,2027,2027,See description under line item 6.,,,500,,,,,,500,corrected,
2021,WATERFRONT IMPROVEMENTS:,53,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY20,COM.6B,,2027,2027,See description under line item 6.,,,2500,,,,,,2500,corrected,
2021,WATERFRONT IMPROVEMENTS:,54,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY19,COM.6C,,2027,2027,See description under line item 6.,,,3351,,,,,,3351,corrected,
2021,INDUSTRIAL DEVELOPMENT,55,AVIATION,Lower Schuylkill River Industrial District,AVN.7.1,,,,"Design, fabrication & installation of improvements streetscape to support development sites in the Innovation District portion of the Lower Schuylkill River.",,,3000,500,500,500,500,500,500,corrected,
2021,INDUSTRIAL DEVELOPMENT,55,AVIATION,Industrial Districts-FY21,AVN.7A,,2027,2027,See description under line item 7.,,,1000,,,,,,1000,corrected,
2021,INDUSTRIAL DEVELOPMENT,55,AVIATION,Industrial Districts-FY17,AVN.7B,,2027,2027,See description under line item 7.,,,3000,,,,,,3000,corrected,
2021,INDUSTRIAL DEVELOPMENT,56,AVIATION,Industrial Districts-FY16,AVN.7C,,2027,2027,See description under line item 7.,,,1000,,,,,,1000,corrected,
2021,INDUSTRIAL DEVELOPMENT,56,AVIATION,Navy Yard Infrastructure Improvements,AVN.8.1,,,,Make infrastructure improvements in support of public and private development.,,,1500,500,1000,,,,,corrected,
2021,INDUSTRIAL DEVELOPMENT,56,AVIATION,Navy Yard Infrastructure Improvements-FY20,AVN.8A,,2027,2027,See description under line item 8.,,,6100,,,,,,6100,corrected,
2021,INDUSTRIAL DEVELOPMENT,56,AVIATION,Navy Yard Infrastructure Improvements-FY17,AVN.8B,,2027,2027,See description under line item 8.,,,8200,,,,,,8200,corrected,
2021,INDUSTRIAL DEVELOPMENT,56,AVIATION,Environmental Assessment/Remediation,AVN.9.1,,,,Provide environmental assessment and remedial assistance to City properties with contamination issues.,,,1500,500,500,500,,,,corrected,
2021,WATERFRONT IMPROVEMENTS:,57,COMMERCE,"Improvements, Engineering and Administration",COM.10.1,,,,"Conduct engineering, architectural, and environmental studies related to local waterfront development.",,,50000,10000,10000,7500,7500,7500,7500,corrected,
2021,WATERFRONT IMPROVEMENTS:,57,COMMERCE,Acquisition and Improvements,COM.11.1,,,,Purchase and improve industrial sites throughout Philadelphia.,,,80000,20000,20000,10000,10000,10000,10000,corrected,
2021,WATERFRONT IMPROVEMENTS:,58,COMMERCE,Penn's Landing Improvements,COM.12.1,,2022,2027,Make improvements to Penn's Landing.,,,120000,9000,12000,13000,21000,5000,60000,corrected,
2021,WATERFRONT IMPROVEMENTS:,58,COMMERCE,Master Plan Implementation,COM.12.2,,2022,2027,"Implement the Central Delaware Waterfront Master Plan through construction, improvement, or acquisition of City assets.",,,10500,1500,,500,,3000,5500,validated,
2021,WATERFRONT IMPROVEMENTS:,58,COMMERCE,General Site Improvements,COM.12.3,,2022,2027,Implement infrastructure and site improvements in support of public and private development.,,,8500,1500,,500,,2000,4500,validated,
2021,WATERFRONT IMPROVEMENTS:,58,COMMERCE,Central Delaware River Waterfront-FY17,COM.12A,,2022,2027,See description under line item 12.,,,10220,5110,,,,,5110,corrected,
2021,WATERFRONT IMPROVEMENTS:,58,COMMERCE,Central Delaware River Waterfront-FY16,COM.12B,,2022,2027,See description under line item 12.,,,50000,25000,,,,,25000,corrected,
2021,WATERFRONT IMPROVEMENTS:,59,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,,,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,,7000,5000,1000,1000,,,,corrected,
2021,WATERFRONT IMPROVEMENTS:,59,COMMERCE,Schuylkill River Waterfront-FY21,COM.13A,,2027,2027,See description under line item 13.,,,22000,,,,,,22000,corrected,
2021,WATERFRONT IMPROVEMENTS:,59,COMMERCE,Schuylkill River Waterfront-FY20,COM.13B,,2027,2027,See description under line item 13.,,,20500,,,,,,20500,corrected,
2021,WATERFRONT IMPROVEMENTS:,60,COMMERCE,Schuylkill River Waterfront-FY19,COM.13C,,2027,2027,See description under line item 13.,,,5000,,,,,,5000,corrected,
2021,WATERFRONT IMPROVEMENTS:,60,COMMERCE,North Delaware River Waterfront,COM.14.1,,,,Complement public and private reinvestment and help SO implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,,1900,400,500,,1000,,,corrected,
