cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015
2009,Airports,90,Airports,Annual Allocation - Brown Field,A-AA.00001,2010,2015,Council District: 8; Community Plan: Otay Mesa,0,6850000,"This annual allocation provides for capital improvements at Brown Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding. These improvements will not be impacted by the Brown Field Development Project.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",1000000,850000,1000000,1000000,1000000,1000000,1000000
2009,Airports,91,Airports,Annual Allocation - Montgomery Field,A-AA.00002,2010,2015,Council District: 6; Community Plan: Kearny Mesa,0,6950000,"This annual allocation provides for capital improvements at Montgomery Field. The improvements are financed by the Airports Enterprise Fund, which may receive State and federal grants. Individual projects are recommended to the City Council based on the Master Plan for the airport and on the availability of funding.","This project may be used to provide matching local funds for capital improvement projects, which are supported by State and federal grants that require local financial participation, and to provide permanent public improvements for which no State and federal grant funding is available.",1000000,950000,1000000,1000000,1000000,1000000,1000000
2009,Airports,92,Airports,Brown Field Airport Airfield Electrical System Upgrades Phase I,S-00773,,,Council District: 8; Community Plan: Otay Mesa,1735381,1735381,This project provides for the design and construction of electrical system upgrades at the Brown Field Airport Airfield.,Brown Field's current electrical system has outlined its design life and needs to be replaced to meet current engineering standards and the Federal Aviation Administration (FAA) regulations; thus providing continued safe use of the airport.,0,0,0,0,0,0,0
2009,Bikeways,96,City Planning & Community Investment,City Bicycle Master Plan,S-00948,,,Council District: Citywide; Community Plan: Citywide,275000,275000,"This project updates the current Bicycle Master Plan that was completed in 2002. This update provides for documenting existing conditions and making recommendations for future bicycle facilities. It is an essential reference tool for updating community plan, and for use in reviewing development proposals and street improvement plans.","To facilitate grant fund appliations, a new Master Plan is required to update the existing 2002 Biclycle Master Plan.",0,0,0,0,0,0,0
2009,Centre City Development Corporation,97,City Planning & Community Investment,Annual Allocation - Downtown Parking Projects,S-01080,2010,2015,"Council District: 2, 8; Community Plan: Centre City",0,14500000,"This annual allocation provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementation of a ""Wayfinding"" program throughout downtown that places directional signs in the Downtown San Diego area, implementation of residential parking permits, and payment of debt service. These funds have also been pledged for the payment of 6th Avenue and Market Street, and 6th Avenue and K Street parking facilities.","The Redevelopment Plan of the Centre City Redevelopment Area calls for the elimination of blight in Centre City. The Redevelopment Plan was adopted on May 11, 1992 by Council Ordinance O-17767. The Parking Meter Revenue Allocation Policy (Council Policy 100-18) was adopted on March 4, 1997 and the Comprehensive Downtown Parking Plan was adopted on December 2, 1997.",1500000,5500000,1500000,1500000,1500000,1500000,1500000
2009,Economic Development,98,City Planning & Community Investment,Ray Street Improvements,S-01078,,,Council District: 3; Community Plan: Greater North Park,125000,125000,"This project provides for sidewalk, curb and gutter replacement, trees, enhanced paving, street furniture, and identity signage on one block of Ray Street from University Avenue to North Park Way in the North Park Community.","This one-block area of Ray Street lies within the boundaries of the North Park Main Street Business Improvement District and the North Park Redevelopment Project Area. Due to the activism of the business owners on the street, this blighted area is being enhanced with facade improvements, a monthly gallery event and leasehold turnover consistent with the art-oriented theme of this small district. This project will add enhancements in the public right-of-way.",0,0,0,0,0,0,0
2009,Facilities - Eng,99,City Planning & Community Investment,Multiple Species Conservation Program - Property Acquisition,S-01076,2013,2013,Council District: Citywide; Community Plan: Citywide,15411050,43200522,This project provides for acquiring property in support of the Multiple Species Conservation Program (MSCP).,"The Multiple Species Conservation Program Implementing Agreement, Section 10(a), Take Authorization of the Endangered Species Act, mandates a statutory responsibility on the part of the City to assemble the MSCP preserve. This responsibility includes public land acquisition to be used for wildlife habitat.",0,0,0,0,27789472,0,0
2009,Other Parks,100,City Planning & Community Investment,Torrey Pines City Park General Development Plan,S-01015,,,"Council District: 1; Community Plan: La Jolla, University",465431,465431,"This project provides for the preparation of a General Development Plan for the 447.0 gross acre park located on North Torrey Pines Road. The General Development Plan will incorporate the Glider Port Leasehold and will provide guidance for the development and protection of the Park's beautiful and historic nature. Amenities may include passive use areas, access road and parking lot, children's play area, pedestrian/bicycle paths connecting to beach access, accessibility improvements, signage, site furnishings, and miscellaneous landscaping. Construction may be a component of this project and may begin once design is completed.","This project is required pursuant to a Settlement Agreement between the City and the Coastal Law Enforcement Action Network for violations resulting from unapproved on-site grading activities by the Lessee. Additionally, the park site is located in a community deficient in parks and recreational facilities per the City's General Plan.",0,0,0,0,0,0,0
2009,Bikeways,104,Engineering & Capital Projects,54th Street and Euclid Avenue Bike Lanes and Route,S-00956,,,"Council District: 4, 7; Community Plan: Southeastern San Diego, College Area",130000,130000,This project provides for the installation of Class II Bike Lanes on 54th Street between Trojan and Euclid Avenues and for Class III Bike Route signage and pavement markings along Euclid Avenue between 54th Street and Market Street.,This project will close a gap in bicycle routes between the College Area and Southeastern San Diego and its neighborhoods.,0,0,0,0,0,0,0
2009,Bikeways,105,Engineering & Capital Projects,Balboa Ave/Tierrasanta Blvd Bikeway,S-00957,,,"Council District: 6, 7; Community Plan: Kearny Mesa, Tierrasanta",250000,250000,"This project provides for the installation of 13.5 miles of Class II bike lanes on Balboa Avenue from Morena Boulevard to Interstate 15 and on Tierrasanta Boulevard from Interstate 15 to Santo Road, and .7 miles of Class III bike route on Balboa Avenue from Mission Bay Drive to Morena Boulevard.",This project will facilitate the use of bicycles in the area.,0,0,0,0,0,0,0
